file,read_count
../results/simdir/Listeria_monocytogenes_SLCC2479_uid51829/51829_2.fq.gz,24951
../results/simdir/Salmonella_enterica_serovar_Heidelberg_B182_uid88529/88529_2.fq.gz,40021
../results/simdir/Salmonella_enterica_serovar_Heidelberg_B182_uid88529/88529_1.fq.gz,36876
../results/simdir/Salmonella_enterica_serovar_Paratyphi_A_AKU_12601_uid30943/30943_1.fq.gz,34440
../results/simdir/Salmonella_enterica_serovar_Paratyphi_A_AKU_12601_uid30943/30943_2.fq.gz,37646
../results/simdir/Pseudomonas_TKP_uid225946/225946_2.fq.gz,58328
../results/simdir/Pseudomonas_TKP_uid225946/225946_1.fq.gz,53678
../results/simdir/Listeria_monocytogenes_J1816_uid60535/60535_1.fq.gz,22898
../results/simdir/Listeria_monocytogenes_J1816_uid60535/60535_2.fq.gz,24642
../results/simdir/Staphylococcus_aureus_LGA251_uid62883/62883_1.fq.gz,20630
../results/simdir/Staphylococcus_aureus_LGA251_uid62883/62883_2.fq.gz,23390
../results/simdir/Escherichia_coli_042_uid40647/40647_1.fq.gz,40396
../results/simdir/Escherichia_coli_042_uid40647/40647_2.fq.gz,44054
../results/simdir/Clostridium_SY8519_uid67799/67799_1.fq.gz,21620
../results/simdir/Clostridium_SY8519_uid67799/67799_2.fq.gz,23623
../results/simdir/Bacillus_megaterium_DSM319_uid42425/42425_1.fq.gz,39667
../results/simdir/Bacillus_megaterium_DSM319_uid42425/42425_2.fq.gz,42526
../results/simdir/Bacillus_amyloliquefaciens_Y2_uid78839/78839_2.fq.gz,35479
../results/simdir/Bacillus_amyloliquefaciens_Y2_uid78839/78839_1.fq.gz,32832
../results/simdir/Staphylococcus_aureus_MW2_uid306/306_1.fq.gz,21576
../results/simdir/Staphylococcus_aureus_MW2_uid306/306_2.fq.gz,23998
../results/simdir/Bacillus_subtilis_uid76/76_2.fq.gz,34337
../results/simdir/Bacillus_subtilis_uid76/76_1.fq.gz,31986
../results/simdir/Listeria_seeligeri_serovar_1_2b_SLCC3954_uid41123/41123_1.fq.gz,21313
../results/simdir/Listeria_seeligeri_serovar_1_2b_SLCC3954_uid41123/41123_2.fq.gz,23201
../results/simdir/Staphylococcus_aureus_Z172_uid222409/222409_1.fq.gz,23002
../results/simdir/Staphylococcus_aureus_Z172_uid222409/222409_2.fq.gz,25567
../results/simdir/Pseudomonas_putida_W619_uid17053/17053_2.fq.gz,47868
../results/simdir/Pseudomonas_putida_W619_uid17053/17053_1.fq.gz,44126
../results/simdir/Salmonella_enterica_serovar_Agona_24249_uid222376/222376_2.fq.gz,39748
../results/simdir/Salmonella_enterica_serovar_Agona_24249_uid222376/222376_1.fq.gz,36839
../results/simdir/Bacillus_anthracis_Ames_uid309/309_1.fq.gz,40116
../results/simdir/Bacillus_anthracis_Ames_uid309/309_2.fq.gz,43721
../results/simdir/Clostridium_cf__saccharolyticum_K10_uid45855/45855_2.fq.gz,28800
../results/simdir/Clostridium_cf__saccharolyticum_K10_uid45855/45855_1.fq.gz,26633
../results/simdir/Francisella_tularensis_tularensis_uid9/9_2.fq.gz,15710
../results/simdir/Francisella_tularensis_tularensis_uid9/9_1.fq.gz,14264
../results/simdir/Bacillus_pseudofirmus_OF4_uid28811/28811_1.fq.gz,32726
../results/simdir/Bacillus_pseudofirmus_OF4_uid28811/28811_2.fq.gz,35119
../results/simdir/Bacillus_amyloliquefaciens_IT_45_uid73591/73591_2.fq.gz,32973
../results/simdir/Bacillus_amyloliquefaciens_IT_45_uid73591/73591_1.fq.gz,30393
../results/simdir/Bacillus_toyonensis_BCT_7112_uid225857/225857_2.fq.gz,42248
../results/simdir/Bacillus_toyonensis_BCT_7112_uid225857/225857_1.fq.gz,38755
../results/simdir/Salmonella_enterica_serovar_Paratyphi_B_SPB7_uid27803/27803_2.fq.gz,40630
../results/simdir/Salmonella_enterica_serovar_Paratyphi_B_SPB7_uid27803/27803_1.fq.gz,37453
../results/simdir/Pseudomonas_aeruginosa_M18_uid61423/61423_1.fq.gz,47460
../results/simdir/Pseudomonas_aeruginosa_M18_uid61423/61423_2.fq.gz,53772
../results/simdir/Listeria_monocytogenes_SLCC2378_uid51729/51729_2.fq.gz,24508
../results/simdir/Listeria_monocytogenes_SLCC2378_uid51729/51729_1.fq.gz,22423
../results/simdir/Escherichia_coli_SMS_3_5_uid19469/19469_1.fq.gz,40009
../results/simdir/Escherichia_coli_SMS_3_5_uid19469/19469_2.fq.gz,43196
../results/simdir/Escherichia_coli_CFT073_uid313/313_2.fq.gz,43122
../results/simdir/Escherichia_coli_CFT073_uid313/313_1.fq.gz,40241
../results/simdir/Shigella_flexneri_5_8401_uid16375/16375_2.fq.gz,37975
../results/simdir/Shigella_flexneri_5_8401_uid16375/16375_1.fq.gz,35193
../results/simdir/Staphylococcus_aureus_ED98_uid39547/39547_2.fq.gz,23920
../results/simdir/Staphylococcus_aureus_ED98_uid39547/39547_1.fq.gz,21645
../results/simdir/Staphylococcus_aureus_JH9_uid15757/15757_2.fq.gz,24781
../results/simdir/Staphylococcus_aureus_JH9_uid15757/15757_1.fq.gz,22390
../results/simdir/Clostridium_botulinum_B1_Okra_uid28505/28505_2.fq.gz,34851
../results/simdir/Clostridium_botulinum_B1_Okra_uid28505/28505_1.fq.gz,30891
../results/simdir/Salmonella_enterica_serovar_Gallinarum_287_91_uid30689/30689_2.fq.gz,38312
../results/simdir/Salmonella_enterica_serovar_Gallinarum_287_91_uid30689/30689_1.fq.gz,35141
../results/simdir/Salmonella_enterica_serovar_Bovismorbificans_3114_uid217868/217868_2.fq.gz,39207
../results/simdir/Salmonella_enterica_serovar_Bovismorbificans_3114_uid217868/217868_1.fq.gz,35853
../results/simdir/Clostridium_acetobutylicum_DSM_1731_uid63241/63241_1.fq.gz,31751
